CÓDIGO;NOMBRE DEL COLOR;TIPO DE PINTURA;BASE 1;BASE 2;BASE 3;BASE 4;BASE 5;BASE 6;BASE 7;BASE 8;BASE 9;BASE 10;BASE 11;BASE 12;BASE 13;BASE 14;BASE 15;BASE 16;BASE 17
;;;;;;;;;;;;;;;;;;;
BLANCO BASE P/ 042;042-TOY;DUCO;150,4;0,9;0,2;4,2;;;;;;;;;;;;;
MARRON;WENGE;DUCO;63;35;24;14;10;4;3;;;;;;;;;;
AZUL METALICO;MONTECARLO;DUCO;110;25;11;4;;;;;;;;;;;;;
AZUL METALICO BASE;8K8;DUCO;69;8;50;22;;;;;;;;;;;;;
BLANCO BASE P/ ZMT;ZMT  ;DUCO;148,2;0,9;0,7;0,5;;;;;;;;;;;;;
BLANCO ;058-TOY;DUCO;162,3;1,8;0,7;0,3;0,03;1;;;;;;;;;;;
AMARILLO NARANJA;CARAMELO;DUCO;65;43;22;13;11;;;;;;;;;;;;
AZUL NAVAL BASE_VJ;NAVAL;DUCO;88;42,8;17;;;;;;;;;;;;;;
MARRON NARANJA;ND NOCE DOMINO;DUCO;100;15;29;;;;;;;;;;;;;;
BEIGE;NACRE;DUCO;105;50;5;;;;;;;;;;;;;;
MARRON TABACO;TABACO;DUCO;77,6;27,4;18,2;18,2;7;6,6;;;;;;;;;;;
ROJO BASE;3E5-TOY;DUCO;108;24;6;6;;;;;;;;;;;;;
BEIGE ARENA;BERLIN;DUCO;118;45;5;2;;;;;;;;;;;;;
NARANJA MARRON;ALAMO;DUCO;54;37;20;12;12;8;;;;;;;;;;;
ALUMINIO VENTANAS;ALV-1;DUCO;81,8;37,7;19;5,4;3,6;;;;;;;;;;;;
VERDE METALICO;6M1;DUCO;75;2;37;36;;;;;;;;;;;;;
ALUMINIO BASE;1C0;DUCO;126;15,3;5,3;1,5;0,2;;;;;;;;;;;;
BLANCO BASE;056-TOY;DUCO;900;2,5;1;0,5;;;;;;;;;;;;;
VERDE BASE METALICO;6P2;DUCO;53;5;3;20;10;43;;;;;;;;;;;
AZUL BASE MATALICO;B01;DUCO;65;4;2;40;2;29;;;;;;;;;;;
NOCE DOMINO MET;NOCE MET;DUCO;110;21;17;2;;;;;;;;;;;;;
MARRON NARANJA;TANGANICA;DUCO;90;36;27;;;;;;;;;;;;;;
CARBALHO CAPUCHINO;CARBALHO;DUCO;58;32;22;19;15;4;;;;;;;;;;;
GRIS GRAFITO;GRAFITO-1;DUCO;60;1;18;16;54;;;;;;;;;;;;
ALUMINIO BASE;K23;DUCO;117;22;1,2;0,1;0,1;;;;;;;;;;;;
MARRON BEIGE;EBORA;DUCO;80;40;20;5;5;3;;;;;;;;;;;
AZUL BASE;8M0;DUCO;15,2;30,4;30,4;72,2;;;;;;;;;;;;;
PERLA URBANA;PERLA;DUCO;72;47;26;9;2;;;;;;;;;;;;
GRIS METALICO BASE;ZMA;DUCO;82;13;14;11;26;1;;;;;;;;;;;
AZUL SOLIDO BASE;BW2;DUCO;72;25,2;0,9;8,1;16,2;10,8;24,3;;;;;;;;;;
ROJO BASE;A20;DUCO;103;2;2,4;36;;;;;;;;;;;;;
BLANCO BASE P/ W32;W32;DUCO;150;0,2;0,5;0,09;0,06;0,1;;;;;;;;;;;
AZUL BASE MATALICO;ZYR;DUCO;81;2,4;2,7;45,4;8;8;;;;;;;;;;;
AZUL METALICO BASE;8K9;DUCO;40;10;63;8;33;;;;;;;;;;;;
NEGRO METALICO;205  TOY;DUCO;36;2,7;0,9;108;;;;;;;;;;;;;
BEIGE BASE P/ ZDK;ZDK;DUCO;45;44;39;12,5;0,6;;;;;;;;;;;;
BEIGE INTERMEDIO BASE;CTR-2;DUCO;45;78,5;5;4;12,5;;;;;;;;;;;;
MARRON SOCALO BASE;CTR-3;DUCO;82,5;4,5;20,4;22,5;1;15;;;;;;;;;;;
AZUL BASE MATALICO;KR  FORD;DUCO;42;22;5;25;3;40;;;;;;;;;;;
BEIGE METALICO BASE;1A5;DUCO;102;24;9;1;1;1;;;;;;;;;;;
ROJO METALICO;U6-9SS;DUCO;24;85;20;6;4;;;;;;;;;;;;
VERDE VOLVO_VJ;91484  VL;SER;540,2;113,2;69,3;102,2;;;;;;;;;;;;;
NARANJA;MARA;DUCO;120;10;15;20;;;;;;;;;;;;;
VERDE MERCANTIL;MERCANTIL;DUCO;121;0,6;0,6;6;12;1,5;;;;;;;;;;;
GRIS MET PLASTICOS;TK-FD;DUCO;38;1;38;40;15;5;5;;;;;;;;;;
BASE GRIS MET ;TK-VJ;DUCO;45;2;38;20;0,3;1,5;0,3;27;5;;;;;;;;
VERDE HOJA;331.750  VJ;DUCO;84;8;5;9;15;6;5;10;;;;;;;;;
AZUL BASE METALICO;8K5;DUCO;110;20;50;3;4;5;;;;;;;;;;;
BLANCO METALICO BASE P/ 1C1;1C1;DUCO;80;1;2;1;80;;;;;;;;;;;;
AZUL METALICO BASE;SZ;DUCO;104;18;8;2;2;4;2;;;;;;;;;;
BLANCO BASE P/ 046;046-TOY;DUCO;150;2,5;1,6;1,5;6,4;;;;;;;;;;;;
ALUMINIO BASE;T2X;DUCO;55;65;4;2;2;15;1;;;;;;;;;;
BLANCO BASE P/ W13;W13;DUCO;160;1;0,1;0,2;1,8;0,2;0,1;;;;;;;;;;
GRIS METALICO BASE;K27;DUCO;82;13;50;11;26;1;4;1;40;;;;;;;;
BEIGE MET SOCALO SUZUKI;SUZ;DUCO;50;60;30;5;1;1;;;;;;;;;;;
BEIGE AMARILLO;FAGIO;DUCO;104;1;1;5;24;16;;;;;;;;;;;
GRIS METALICO BASE;A39;DUCO;80;6,5;25;5,5;13;0,5;2;8;;;;;;;;;
BASE GRIS MET ;KV2;DUCO;45;30;2;10;0,3;1,5;0,3;47;7;;;;;;;;
ALUMINIO BASE;1A0;DUCO;126;26;0,5;0,5;2;;;;;;;;;;;;
AZUL BASE SOLIDO;T38;DUCO;77;6;42;23;;;;;;;;;;;;;
AZUL BASE SOLIDO;8K8  SOLIDO;DUCO;53;8;28;36;4;13;;;;;;;;;;;
ROJO ESTACAS SER;ACEBO-1;SINTETICO EXTRA RAPIDO;525;40;3,5;216,5;;;;;;;;;;;;;
VERDE BASE SOLIDO;6P5;DUCO;57,5;1,5;6;9,7;71;;;;;;;;;;;;
AZUL METALICO BASE;B51;DUCO;80;37;12;8;2;2;;;;;;;;;;;
GRIS METALICO BASE;SS7;DUCO;40;40;15;9;26;2;4;17;3;;;;;;;;
BEIGE MARRON MET BASE;4N9;DUCO;63;20;34;6;12;5;;;;;;;;;;;
